From,To,Date,Airline,Flight Number,Tail Number,Aircraft Type,Scheduled Departure,Actual Departure,Scheduled Arrival,Actual Arrival,Departure Delay,Arrival Delay,Flight Duration,Terminal From,Gate From,Terminal To,Gate To,Baggage,Status
Rio de Janeiro (GIG),London (LHR),2015-05-03,British Airways,BA248,-,Boeing 777,21:55,21:53,13:10,12:43,On time,On time,10h 50m,1,K,5,-,-,Arrived
London (LHR),Singapore (SIN),2015-05-09,British Airways,BA15,-,Boeing 777,21:35,21:29,17:40,17:27,On time,On time,12h 58m,5,-,1,-,19,Arrived
Singapore (SIN),Sydney (SYD),2015-05-09,British Airways,BA15,-,Boeing 777,7:20PM,7:48PM,5:05 AM,5:08 AM,28 mins,3 mins,7h 20m,1,C11,1,-,-,Arrived
Sydney (SYD),Brisbane (BNE),2015-09-03,TigerAir Australia,TT372,-,Airbus A320,2:50PM,-,4:20PM,4:10PM,-,On time,1h 30m,2,-,D,-,-,Arrived
Brisbane (BNE),Sydney (SYD),2015-09-07,TigerAir Australia,TT389,-,Airbus A320,8:05PM,-,9:40PM,-,-,-,1h 35m,D,-,2,-,-,Unknown
Sydney (SYD),Singapore (SIN),2015-09-22,British Airways,BA16,G-STBI,Boeing 777,15:30,15:36,21:45,22:01,6 mins,16 mins,8h 25m,1,-,1,-,17,Arrived
Singapore (SIN),London (LHR),2015-09-22,British Airways,BA16,G-STBI,Boeing 777,11:15PM,11:22PM,5:30 AM,5:21 AM,7 mins,On time,12h 59m,1,C25,5,-,3,Arrived
London (LHR),Rio de Janeiro (GIG),2015-09-23,British Airways,BA249,G-YMMO,Boeing 777,12:20PM,12:20PM,8:00PM,8:02PM,On time,2 mins,11h 42m,5,B33,1,K,-,Arrived
Rio de Janeiro (GIG),Santiago (SCL),2015-11-20,LATAM Airlines Brasil,JJ8020,-,Airbus A320,07:30,07:26,11:15,11:49,On time,34 mins,5h 23m,2,33,-,-,-,Arrived
Santiago (SCL),Sydney (SYD),2015-11-20,Quantas Airways,QF28,VH-OEB,Boeing 747-400,13:35,15:03,17:45,19:18,1h 28m,1h 33m,14h 15m,-,-,1,-,-,Arrived
Sydney (SYD),Avalon (AVV),2016-08-20,Jetstar Airways,JQ607,VH-VQQ,Airbus A320,15:25,16:07,17:00,17:41,42 mins,41 mins,1h 34m,2,A49,-,-,-,Arrived
